@relation kredyty

@attribute status_pozyczki {splacona, splacona_cz, windykacja, windykacja_sp, odmowa}
@attribute kwota real
@attribute wiek real
@attribute plec {K, M}
@attribute rodzaj_zrodla_dochodu {11, 12, 13, 14, 15, 16, 17, 98, 99}
@attribute miesieczny_dochod_netto real
@attribute ktore_rolowanie {0, 1, 2, 3}
@attribute okres_w_ktorym_pobieral_dochod real
@attribute okres_w_jakim_bedzie_pobieral_dochod real
@attribute opoznienie_splaty real

@data
odmowa,300,23,M,98,470,0,2,48,0
splacona,800,74,M,13,2712,0,338,48,9
splacona_cz,449.61,54,M,11,1552.16,0,94,48,0
windykacja_sp,400,38,K,11,1998.9,0,226,48,497
splacona_cz,300,46,K,12,1032,0,33,42,0
windykacja,254.23,38,M,12,1030,0,14,16,1778
splacona_cz,300,59,M,16,726,0,228,48,0
splacona_cz,335.97,54,K,11,1721.7,0,115,48,0
splacona,300,55,K,12,1009.34,0,24,48,16
splacona_cz,250,68,M,13,2000,0,40,48,2
splacona_cz,300,34,M,12,1030,0,0,25,3
splacona_cz,400,53,K,16,1362,0,24,48,0
splacona_cz,200,31,K,12,980,0,5,7,0
splacona_cz,800,56,K,13,580,0,114,48,0
splacona_cz,200,72,K,13,930,0,234,48,0
odmowa,300,41,M,12,1037.34,0,32,48,0
splacona_cz,400,69,M,16,1100,0,132,48,0
splacona_cz,300,65,M,13,1611,0,136,48,0
windykacja_sp,500,58,M,11,2200,0,48,48,368
splacona,200,65,K,16,892,0,196,48,0
splacona_cz,1100,42,M,11,2875.71,0,273,48,4
splacona_cz,400,42,M,11,3500,0,23,48,3
splacona_cz,300,30,M,11,1000,0,52,48,0
splacona_cz,250,62,M,99,685,0,0,3,7
splacona_cz,300,65,M,12,1100,0,17,37,4
splacona_cz,300,60,K,13,1026,0,50,48,0
splacona_cz,200,66,K,13,1216,0,136,48,0
splacona_cz,300,61,K,13,975,0,22,48,6
splacona,200,52,K,16,685,0,36,48,0
splacona,400,47,K,11,1700,0,84,48,0
splacona_cz,200,54,M,12,1030,0,4,25,5
splacona,500,52,M,11,2011,0,206,48,11
splacona_cz,300,33,M,11,2100,0,59,48,4
splacona,310,21,M,12,952.89,0,18,27,3
splacona_cz,380,71,K,13,1721,0,192,48,5
splacona,200,57,M,13,819,0,52,48,0
splacona_cz,350,68,M,13,1162.41,0,99,48,0
splacona_cz,600,43,K,11,1443,0,29,48,0
splacona_cz,1000,73,K,13,2100,0,50,48,0
odmowa,200,60,K,13,1123.4,0,28,48,0
splacona_cz,500,58,M,16,1770,0,84,48,0
splacona_cz,200,51,K,11,932.34,0,390,48,0
odmowa,500,32,K,11,624.34,0,141,48,0
splacona,200,62,K,13,930,0,72,48,0
splacona_cz,400,64,K,13,840,0,108,48,3
splacona_cz,300,67,K,13,1085,0,161,48,0
splacona,200,63,M,13,1742.76,0,36,48,2
odmowa,500,37,K,17,498,0,6,9,0
splacona_cz,400,59,K,13,1400,0,241,48,3
splacona,600,77,M,13,2609,0,186,48,0
splacona_cz,300,26,M,11,1459,0,4,48,7
splacona_cz,200,41,K,11,1037.34,0,57,48,2
odmowa,1000,24,M,11,3050,0,24,48,0
splacona_cz,500,59,M,11,2947,0,48,48,0
splacona_cz,200,46,K,98,911,0,93,48,0
splacona_cz,200,55,K,11,1077,0,178,48,0
splacona,200,49,K,12,1100,0,2,3,451
splacona_cz,1000,61,K,13,1820,0,64,48,0
splacona_cz,300,60,K,13,936,0,26,48,0
splacona_cz,300,49,K,11,992.84,0,116,48,0
splacona,200,57,M,13,12220,0,66,48,0
windykacja,300,53,K,12,972.34,0,47,48,260
splacona_cz,200,68,K,13,1134.96,0,156,48,0
splacona_cz,600,61,K,13,2066,0,124,48,2
splacona_cz,200,62,K,13,714,0,217,48,0
splacona_cz,300,58,K,13,1083.23,0,92,48,0
odmowa,500,50,M,11,6125.99,0,377,48,0
splacona_cz,200,69,K,13,1800,0,112,48,0
odmowa,200,52,K,13,423,0,98,48,0
splacona_cz,600,47,K,98,2200,0,20,48,0
splacona_cz,300,73,M,13,960,0,135,48,0
odmowa,200,65,K,13,1032.85,0,161,48,0
splacona,300,60,M,11,2100,0,182,48,0
odmowa,300,23,M,12,1040,0,2,11,0
splacona_cz,400,71,M,13,1921,0,84,48,0
windykacja_sp,400,26,M,11,2500,0,28,48,203
splacona_cz,200,63,K,16,1340,0,156,48,0
splacona_cz,200,60,K,13,1635,0,115,48,1
splacona,200,53,K,99,1100,0,47,48,0
splacona_cz,500,52,K,12,1500,0,21,33,0
odmowa,300,57,K,16,452,0,58,48,0
splacona_cz,300,55,K,16,1072.89,0,117,48,0
splacona_cz,600,58,K,11,1400,0,158,48,2
splacona_cz,600,51,K,11,3200,0,49,48,0
splacona,200,54,K,16,730,0,137,48,455
splacona_cz,200,51,M,12,1030,0,4,48,5
splacona_cz,300,59,K,13,1658,0,24,48,0
windykacja,300,23,M,12,1472,0,7,21,1771
splacona_cz,200,52,M,17,749.74,0,106,48,0
splacona_cz,500,62,K,13,1900,0,83,48,0
splacona,500,42,M,11,1700,0,247,48,0
splacona_cz,300,52,K,11,2065.98,0,174,48,0
splacona_cz,789.27,63,K,13,860,0,75,48,2
splacona_cz,600,56,M,11,3335,0,428,48,1
odmowa,900,61,M,98,1900,0,1,48,0
splacona_cz,200,45,M,12,670,0,4,13,1
splacona,400,36,K,11,1400,0,83,48,193
splacona_cz,285.97,38,K,98,1200,0,41,48,0
odmowa,700,71,M,13,1063.12,0,72,48,0
odmowa,200,39,K,99,600,0,36,38,0
splacona_cz,1569.98,48,M,11,2353,0,94,48,1
splacona_cz,200,71,K,13,1185.33,0,219,48,0
splacona_cz,295.97,39,K,11,1770,0,82,48,0
splacona_cz,200,53,K,16,749.28,0,60,48,0
splacona,300,63,K,16,1340,0,156,48,0
splacona_cz,400,39,K,11,1239.05,0,199,48,7
splacona,200,72,K,13,730,0,556,48,0
splacona_cz,400,68,K,16,980,0,126,48,0
splacona_cz,800,62,K,13,3700,0,22,48,1
odmowa,200,51,K,12,1228,0,7,9,0
splacona_cz,200,54,K,11,1400,0,113,48,1
windykacja,400,40,K,11,1050,0,18,48,1769
splacona_cz,700,58,K,13,1801.41,0,34,48,1
odmowa,300,54,K,11,2000,0,395,48,0
splacona_cz,1500,57,M,98,3000,0,65,48,8
splacona_cz,400,61,M,11,1250,0,61,48,0
splacona_cz,400,60,K,13,1425,0,75,48,3
windykacja,200,55,M,17,894.07,0,60,48,1769
splacona_cz,400,37,K,11,2700,0,117,48,0
splacona_cz,500,32,K,11,3100,0,117,48,0
splacona_cz,200,31,K,12,1032.34,0,1,12,0
splacona_cz,500,57,K,11,2249.14,0,237,48,5
splacona_cz,300,38,K,11,1200,0,186,48,3
splacona_cz,300,66,M,13,2110,0,97,48,0
odmowa,500,29,K,12,1200,0,3,25,0
splacona,600,58,K,13,720,0,228,48,19
splacona,500,41,K,98,5000,0,80,48,2
splacona_cz,500,22,M,17,1896,0,30,35,2
splacona_cz,600,68,K,13,2120,0,115,48,0
splacona_cz,498.47,31,K,12,1600,0,10,13,2
windykacja_sp,300,43,K,11,2000,0,239,48,501
splacona_cz,200,74,K,13,1026,0,243,48,0
splacona,200,49,K,17,1079,0,25,28,0
splacona_cz,300,72,K,13,2100,0,156,48,0
splacona_cz,600,54,K,12,1675,0,5,13,4
splacona,300,21,K,16,806,0,15,48,0
splacona_cz,500,45,K,11,3000,0,89,48,0
splacona_cz,400,54,K,11,2800,0,56,48,2
splacona,200,50,M,16,1045,0,195,48,0
windykacja,400,39,K,11,1200,0,9,48,1766
splacona_cz,400,40,K,12,660,0,8,39,1
splacona_cz,400,66,M,13,1591,0,72,48,1
splacona,336.43,63,K,13,918,0,98,48,105
splacona_cz,350,73,K,13,1412,0,200,48,0
splacona_cz,377.92,27,K,11,1500,0,20,48,0
splacona_cz,200,50,K,11,1577.42,0,201,48,0
splacona_cz,400,40,M,11,1261.98,0,32,48,1
odmowa,300,36,K,12,1400,0,2,3,0
windykacja_sp,400,33,M,12,1100,0,123,48,141
splacona_cz,500,55,K,16,2300,0,59,48,0
splacona_cz,300,63,K,13,1100,0,101,48,8
splacona_cz,200,68,K,13,803.86,0,154,48,0
splacona,300,45,M,12,1375.47,0,3,9,0
windykacja,200,33,M,12,1250,0,0,8,1766
splacona_cz,300,41,K,11,1000,0,57,48,0
windykacja,600,43,M,11,2600,0,5,48,1766
windykacja,300,53,K,99,1122,0,12,32,1766
splacona,800,35,M,12,1500,0,29,37,0
splacona_cz,300,39,K,12,1027,0,5,48,0
odmowa,200,61,K,16,612,0,195,48,0
windykacja,500,44,M,12,2000,0,8,25,1766
splacona_cz,200,63,M,13,1538,0,97,48,0
splacona,626.61,54,M,99,2063.38,0,193,48,251
splacona_cz,200,57,K,16,703,0,22,48,2
splacona_cz,200,73,K,13,866.46,0,191,48,0
splacona_cz,300,77,K,13,1239,0,266,48,2
odmowa,200,54,M,17,541,0,96,48,0
windykacja_sp,576.61,66,K,13,650,0,69,48,379
splacona_cz,300,65,K,13,1013.74,0,109,48,0
splacona_cz,300,62,K,13,1200.29,0,18,48,0
splacona_cz,400,61,M,11,1250,0,102,48,0
splacona_cz,500,62,K,13,962,0,61,48,5
splacona,662.83,59,K,13,1370,0,72,48,0
splacona_cz,300,49,M,13,814.83,0,153,48,1
splacona,300,46,M,11,1566.82,0,345,48,0
splacona_cz,952.96,48,K,12,1500,0,10,28,7
splacona_cz,700,61,K,13,5100,0,24,48,0
splacona_cz,200,75,K,13,616,0,242,48,2
splacona,600,46,M,11,2000,0,47,48,0
splacona_cz,200,64,M,16,633.56,0,107,48,1
splacona_cz,500,39,M,11,1300,0,41,48,0
odmowa,200,47,M,98,444,0,1,48,0
splacona_cz,300,52,M,11,1600,0,264,48,0
splacona,600,24,M,11,2327.94,0,31,48,7
splacona_cz,700,47,M,11,2500,0,200,48,5
splacona_cz,500,33,M,11,1500,0,98,48,14
splacona,200,24,M,11,1037.34,0,30,48,0
splacona_cz,400,53,K,11,1300,0,30,48,5
odmowa,200,63,M,16,505.84,0,133,48,0
splacona_cz,400,73,K,13,951,0,158,48,0
splacona_cz,500,53,K,12,2000,0,5,27,0
splacona,400,62,M,13,1048.07,0,24,48,0
splacona_cz,281.29,55,K,12,1350,0,18,26,0
splacona_cz,600,35,K,11,1065,0,55,48,0
splacona,300,30,M,99,1500,0,7,9,0
splacona_cz,200,27,M,17,728,0,96,48,0
splacona_cz,1239.88,52,K,11,1638,0,310,48,0
windykacja_sp,700,33,K,11,3164.48,0,167,48,371
splacona_cz,500,56,K,13,1425,0,16,48,7
splacona_cz,200,75,K,13,965,0,241,48,0
odmowa,300,56,M,11,1650.26,0,30,48,0
odmowa,400,51,M,11,1030,0,19,48,0
splacona,400,59,K,13,1650,0,111,48,0
splacona_cz,500,63,M,13,1768.93,0,265,48,0
splacona_cz,500,48,M,11,1800,0,122,48,0
splacona_cz,700,27,K,11,1300,0,6,48,0
odmowa,200,53,M,16,550.8,0,61,48,0
splacona_cz,200,73,M,13,910.33,0,159,48,0
splacona_cz,300,34,K,11,980.11,0,41,48,0
splacona_cz,200,62,M,13,1162,0,217,48,0
splacona_cz,300,69,M,13,940,0,49,48,4
windykacja_sp,300,23,K,16,1199.93,0,138,48,486
splacona_cz,400,56,M,11,2031,0,110,48,0
splacona_cz,500,60,K,13,1000,0,64,48,2
splacona_cz,400,52,K,11,1050,0,14,48,6
splacona_cz,300,71,M,13,1426,0,73,48,0
splacona,300,60,K,13,1149.06,0,157,48,0
odmowa,200,52,M,16,387.71,0,96,48,0
odmowa,200,33,M,12,554,0,3,10,0
splacona,300,25,M,12,1660,0,9,28,348
splacona,300,61,K,13,984,0,7,48,0
splacona_cz,400,56,K,11,1172.2,0,33,48,2
splacona_cz,400,35,M,11,2700,0,4,48,12
splacona_cz,250,58,K,13,1500,0,42,48,0
splacona_cz,600,54,K,11,1300,0,64,48,0
windykacja_sp,694.6,58,K,13,1735,0,50,48,493
splacona_cz,600,47,K,11,1700,0,85,48,5
splacona_cz,500,51,K,11,1700,0,302,48,4
splacona_cz,600,53,K,12,1500,0,5,6,0
windykacja,500,23,M,12,2000,0,14,17,1761
splacona_cz,235.97,66,K,13,1428.55,0,133,48,2
windykacja,744.6,60,K,13,1100,0,18,48,1761
splacona_cz,300,54,M,11,1700,0,35,48,0
splacona_cz,242.73,40,K,11,2505,0,160,48,0
splacona,283.08,57,K,13,782,0,188,48,18
splacona_cz,700,75,M,13,2098,0,193,48,3
splacona_cz,400,60,K,16,1411,0,62,48,4
splacona_cz,800,58,K,17,684,0,186,48,0
splacona_cz,500,58,M,17,485,0,139,48,7
splacona_cz,400,66,K,13,1137.19,0,92,48,0
odmowa,800,43,M,12,1050,0,2,3,0
splacona_cz,400,47,K,11,3170,0,281,48,0
splacona_cz,500,60,K,13,1212,0,50,48,0
splacona,600,47,K,12,830.46,0,41,48,0
splacona_cz,200,62,K,13,1065,0,18,48,4
splacona_cz,900,47,K,11,5800,0,50,48,0
splacona_cz,400,61,M,13,1503,0,162,48,1
splacona_cz,300,61,K,13,1684,0,16,48,0
splacona_cz,450,72,K,13,640,0,135,48,0
splacona_cz,800,80,K,13,2421.55,0,241,48,0
splacona_cz,800,60,M,11,1000,0,59,48,0
splacona_cz,300,33,M,11,1800,0,161,48,1
splacona_cz,285.97,62,K,13,1189,0,66,48,0
splacona_cz,700,58,M,11,1510,0,162,48,0
splacona_cz,300,57,K,11,1680,0,381,48,0
splacona_cz,500,53,K,16,655,0,27,48,0
splacona,300,40,K,17,646,0,50,48,16
splacona_cz,600,42,M,11,2100,0,280,48,16
splacona,300,39,K,11,2825,0,93,48,0
splacona_cz,600,49,K,11,2800,0,315,48,1
splacona,524.09,72,K,13,3541.9,0,123,48,31
splacona_cz,300,62,K,13,1130,0,99,48,0
splacona_cz,600,32,K,11,1290,0,15,48,0
splacona_cz,200,54,M,12,988,0,5,13,1
splacona_cz,800,29,M,12,1800,0,4,11,0
splacona_cz,903.23,36,K,11,1900,0,175,48,2
odmowa,400,49,M,17,693,0,16,37,0
windykacja_sp,600,32,M,12,1655.76,0,53,48,492
splacona_cz,300,61,K,13,997,0,75,48,0
splacona_cz,400,66,K,13,850,0,63,48,2
odmowa,500,56,K,13,968.87,0,10,48,0
splacona_cz,300,35,K,12,1200,0,5,15,1
splacona_cz,200,49,M,11,1400,0,10,48,0
splacona_cz,500,72,M,13,1700,0,10,48,1
splacona_cz,1000,28,M,12,1800,0,7,8,2
splacona,300,79,K,13,1167.94,0,365,48,0
splacona_cz,721.94,57,K,12,1680,1,66,48,2
splacona_cz,500,29,K,12,1447,1,18,25,1
splacona_cz,400,65,K,13,930,1,127,48,0
windykacja_sp,500,62,M,13,1420.41,1,20,48,484
splacona_cz,250,60,K,13,810,1,29,48,0
splacona_cz,400,40,K,11,1087,0,234,48,17
splacona_cz,500,53,M,11,1320,0,338,48,1
splacona_cz,400,64,K,13,1015,1,105,48,6
splacona_cz,700,52,M,11,3200,0,185,48,0
odmowa,200,63,K,13,544.63,0,64,48,0
splacona_cz,500,63,K,16,1340,0,157,48,0
splacona_cz,200,46,M,11,1360,1,116,48,0
splacona_cz,1000,53,M,11,4000,1,6,48,1
splacona,408.77,33,K,11,2050,1,25,48,0
splacona_cz,200,50,K,12,2000,1,31,48,0
splacona,200,53,K,17,432.87,0,141,48,41
splacona_cz,300,60,M,11,3000,1,208,48,3
splacona_cz,200,24,M,12,1000,1,8,26,0
splacona_cz,449.7,23,M,99,980,1,8,9,0
splacona_cz,200,65,K,13,665.92,1,121,48,4
splacona,500,71,K,13,1667,0,152,48,0
splacona_cz,300,49,M,13,3900,1,26,48,0
splacona,200,52,K,16,685,0,37,48,0
splacona_cz,200,69,K,16,959.6,0,111,48,0
splacona,400,66,K,13,1031,0,117,48,0
splacona_cz,600,39,K,11,1800,0,48,48,5
splacona_cz,432.44,69,K,13,1072,1,149,48,1
splacona_cz,200,20,M,17,985,1,9,13,1
splacona_cz,200,26,M,11,1136.8,0,5,48,0
splacona_cz,200,38,K,99,2800,1,6,8,0
windykacja_sp,200,47,K,11,770,1,99,48,449
splacona_cz,300,19,M,99,750,0,0,7,0
splacona_cz,800,60,K,11,2670,1,84,48,6
splacona_cz,400,62,M,16,1313.41,0,24,48,0
splacona_cz,700,69,K,13,2291,1,67,48,0
splacona_cz,400,58,K,13,1454.91,0,38,48,0
splacona_cz,700,42,M,11,2258,1,71,48,0
splacona_cz,500,61,K,13,1362,1,52,48,4
splacona,662.69,30,M,11,2837,1,122,48,12
splacona_cz,200,62,K,13,714,1,218,48,3
splacona_cz,200,74,K,13,1026,1,243,48,1
odmowa,200,60,M,15,482.94,0,147,48,0
splacona_cz,400,64,M,13,1261.6,0,49,48,0
splacona_cz,200,79,K,13,1442.43,1,137,48,0
splacona_cz,600,55,M,16,588,1,418,48,0
windykacja,200,20,K,12,1600,0,0,3,1755
splacona_cz,352.42,63,K,13,1668,1,87,48,0
splacona,300,48,K,11,980,0,196,48,0
splacona,300,50,M,12,1000,1,39,48,0
splacona_cz,300,24,M,17,926,1,52,48,7
splacona_cz,300,58,K,13,1240,1,66,48,1
splacona_cz,520.7,24,M,17,926,1,52,48,7
splacona,888.47,76,K,13,1377.23,1,253,48,150
windykacja,200,40,M,12,1000,1,2,4,1755
splacona_cz,400,29,M,11,1888.27,0,73,48,0
splacona,400,25,M,11,1110,0,6,48,0
splacona_cz,300,70,K,13,865,1,124,48,10
splacona_cz,500,54,K,16,1045.6,1,8,48,0
splacona_cz,400,28,M,12,900,1,14,22,1
splacona_cz,673.09,63,K,13,930,1,90,48,5
splacona,400,55,M,11,1600,0,45,48,406
splacona_cz,500,49,M,11,3250,0,1,48,3
splacona,200,67,M,13,1250,0,63,48,0
splacona_cz,200,65,K,13,802.83,0,197,48,0
splacona,250,61,K,13,634.64,0,9,48,0
splacona_cz,900,59,K,13,1370,0,72,48,2
splacona_cz,300,43,K,11,1400,1,21,48,0
splacona,200,52,M,17,749.74,1,107,48,0
splacona,900,33,K,11,2200,0,33,48,0
splacona,200,65,K,13,670,1,62,48,0
splacona_cz,281.29,53,K,11,1700,1,201,48,0
odmowa,200,44,M,98,450,0,2,48,0
splacona,500,61,M,11,2250.05,1,172,48,14
splacona,300,43,K,99,645.31,0,7,13,0
splacona_cz,200,56,K,11,1187.06,0,129,48,0
splacona_cz,400,61,K,13,1090.14,0,71,48,0
splacona_cz,200,72,K,13,785,0,60,48,0
splacona_cz,700,72,M,13,2802,1,243,48,16
splacona_cz,400,50,K,11,1577.42,1,201,48,1
splacona,626.61,37,M,12,3000,1,4,11,29
splacona,200,52,M,12,1210,0,3,11,0
odmowa,1000,38,M,11,3600,0,48,48,0
splacona_cz,300,61,M,99,611.36,0,8,13,0
splacona_cz,500,31,M,11,2700,1,11,48,0
splacona_cz,300,47,M,12,600,1,5,28,0
splacona_cz,200,25,K,17,1200,1,161,48,0
splacona_cz,300,48,K,11,1077.49,0,368,48,0
splacona_cz,400,70,K,13,1291.18,1,75,48,0
splacona_cz,400,33,M,11,1033,0,32,48,3
splacona_cz,500,49,K,11,1800,1,49,48,2
odmowa,800,50,M,11,980,0,108,48,0
splacona_cz,575.74,32,M,11,2050,1,114,48,1
splacona_cz,600,35,K,11,2400,0,109,48,0
splacona_cz,400,54,K,12,1700,1,51,48,0
odmowa,300,66,M,13,1408.27,0,72,48,0
splacona,200,63,K,16,1389,0,87,48,0
splacona_cz,200,57,M,16,763.38,0,207,48,0
splacona_cz,285.97,68,K,13,1017,1,157,48,1
splacona_cz,200,46,K,11,658,0,89,48,0
splacona_cz,300,70,K,13,729.03,1,253,48,0
splacona,600,56,M,11,2031,1,110,48,0
splacona_cz,400,50,K,17,990,1,68,48,0
splacona_cz,300,53,M,11,2080,1,314,48,0
odmowa,300,31,M,12,1250,0,11,13,0
splacona_cz,200,36,M,12,1017,0,53,48,0
splacona_cz,200,66,K,13,910,1,66,48,0
splacona,300,23,M,11,1400,0,21,48,0
odmowa,800,45,K,98,3000,0,7,48,0
splacona_cz,500,36,K,11,1700,0,193,48,1
splacona_cz,400,52,K,12,1040,1,14,20,0
splacona,300,36,M,11,2500,0,151,48,0
odmowa,1000,47,M,11,3500,0,30,48,0
splacona_cz,300,58,K,13,1244.77,1,35,48,1
windykacja_sp,400,34,M,11,1060.96,0,6,48,464
splacona_cz,300,73,M,13,960,1,136,48,7
splacona_cz,300,73,M,13,1457,0,75,48,0
odmowa,200,42,K,99,1000,0,9,13,0
splacona_cz,200,40,M,12,700,0,5,25,0
splacona_cz,200,71,K,13,722.05,0,193,48,6
splacona_cz,200,66,K,13,1216,1,137,48,0
windykacja,500,34,K,12,2000,0,3,7,1750
splacona_cz,700,58,K,13,1872,1,31,48,1
splacona_cz,800,55,K,13,3440,1,47,48,8
splacona,300,43,M,12,1463.56,1,2,13,0
windykacja_sp,540.54,36,K,11,2478,0,154,48,436
splacona_cz,600,31,K,12,855,1,40,48,0
splacona_cz,500.8,35,K,98,4000,1,15,48,1
splacona,500,50,K,11,4900,0,7,48,0
splacona_cz,400,61,K,13,1280,1,13,48,0
splacona_cz,500,35,M,11,2200,1,81,48,8
splacona_cz,600,33,K,12,1540,0,35,41,0
splacona_cz,300,50,K,12,1000,1,28,31,9
splacona_cz,300,59,M,16,726,1,229,48,2
splacona_cz,500,64,M,13,1530,1,31,48,5
windykacja,300,52,M,12,1000,1,5,6,1750
splacona,449.61,54,M,11,1552.16,1,95,48,236
splacona_cz,369.96,35,K,11,2709.34,1,177,48,1
splacona_cz,600,51,M,12,2673.17,1,108,48,0
windykacja_sp,300,66,M,13,1169,0,75,48,398
splacona_cz,400,57,M,13,1561.87,0,193,48,1
